#time    potential    pressure    kinect   square_kin
4.79    -37.149    397.693    1387.561    1.925326591e6
4.8    -27.925    548.674    1379.567    1.903206254e6
4.81    -11.913    783.795    1368.25    1.872107184e6
4.82    -9.317    829.836    1354.244    1.833976642e6
4.83    -23.586    641.149    1364.937    1.863053193e6
4.84    -26.886    585.794    1372.674    1.884233113e6
4.85    -31.689    507.613    1374.591    1.889500175e6
4.86    -42.138    356.608    1382.645    1.911707478e6
4.87    -49.623    253.469    1392.97    1.940366232e6
4.88    -45.506    317.156    1395.322    1.946922822e6
4.89    -31.233    525.533    1385.907    1.920739266e6
4.9    -22.88    659.741    1371.792    1.881814537e6
4.91    -26.888    633.555    1374.203    1.888434495e6
4.92    -14.855    814.539    1370.223    1.877511281e6
4.93    -3.44    979.499    1355.26    1.836730545e6
4.94    -11.39    877.515    1353.715    1.832543657e6
4.95    -23.359    710.002    1364.423    1.861650869e6
4.96    -36.127    530.079    1376.386    1.894437454e6
4.97    -43.527    428.835    1387.415    1.924919186e6
4.98    -39.004    498.561    1389.293    1.930134465e6
4.99    -21.514    750.726    1378.735    1.900909672e6
5.0    5.434    1123.856    1356.574    1.840294239e6
5.01    6.901    1147.218    1336.961    1.78746523e6
5.02    -14.132    857.122    1351.717    1.82714015e6
5.03    -29.395    635.706    1370.478    1.87821033e6
5.04    -30.593    604.556    1378.44    1.900095915e6
5.05    -20.1    731.97    1372.995    1.885115917e6
5.06    -12.535    816.681    1361.152    1.852733548e6
5.07    -21.514    676.22    1362.386    1.856095391e6
5.08    -28.411    557.948    1373.357    1.886108962e6
5.09    -23.195    597.211    1373.399    1.886224823e6
5.1    -24.341    553.12    1370.087    1.877137585e6
5.11    -24.713    514.117    1371.563    1.881185237e6
5.12    -33.196    367.049    1374.48    1.889194125e6
5.13    -40.532    236.921    1383.929    1.915260281e6
5.14    -42.002    191.372    1387.595    1.925420499e6
5.15    -39.514    207.157    1387.055    1.923921667e6
5.16    -31.052    306.444    1382.358    1.910913442e6
5.17    -19.962    435.265    1371.279    1.880405309e6
5.18    -29.227    288.172    1368.22    1.872025691e6
5.19    -45.292    46.334    1384.631    1.917201869e6
5.2    -51.574    -62.076    1394.942    1.94586399e6
5.21    -53.188    -96.831    1397.931    1.954210595e6
5.22    -53.479    -100.947    1398.673    1.956286403e6
5.23    -52.224    -71.847    1398.432    1.955612656e6
5.24    -46.973    21.136    1395.739    1.948086127e6
5.25    -35.88    196.627    1387.737    1.92581303e6
5.26    -27.27    336.944    1376.201    1.893928473e6
5.27    -28.678    337.257    1373.148    1.885535918e6
5.28    -32.031    301.938    1376.224    1.893992213e6
5.29    -34.177    275.116    1378.923    1.901428898e6
5.3    -35.257    256.614    1380.338    1.905331812e6
5.31    -36.709    228.17    1381.377    1.908201906e6
